day26,29:47.9,7.35,211,74.7,28.6,677,305,,,
day26,39:49.9,7.35,211,74.7,28.6,680,363,,,
day26,49:51.2,7.71,213,64.1,32.7,682,406,,,
day26,59:52.5,8.16,216,60.3,34.4,682,439,,,
day26,09:53.8,8.38,211,58.5,34.9,681,470,,,
day26,19:55.2,8.56,216,61.9,33.4,682,484,,,
day26,29:56.5,8.86,216,61,33.1,681,497,,,
day26,39:58.0,9.08,219,57.7,35,682,506,,,
day26,49:59.3,9.23,220,55.1,36.3,683,521,,,
day26,00:00.7,9.38,219,54.8,35.9,683,530,,,
day26,10:02.1,9.56,219,52.8,36.3,683,540,,,
day26,20:03.4,9.71,219,60.2,32,683,545,,,
day26,30:05.1,9.89,218,61.1,31.7,679,541,,,
day26,40:07.0,7.04,218,59.8,31.1,682,551,,,
day26,50:08.8,7.15,218,59.4,31.5,682,547,,,
day26,00:10.6,7.33,217,59.2,31.4,682,546,,,3
day26,10:12.5,7.56,217,59.3,31.4,681,555,,,
day26,20:14.3,7.59,217,58.5,31.6,679,553,,,
day26,30:16.1,7.74,216,58.1,31.5,681,556,,,
day26,40:17.9,7.74,216,59,31.3,679,558,,,
day26,50:19.8,7.93,216,58.4,31.5,681,563,,,
day26,00:21.6,7.89,216,58.6,31.6,678,563,,,
day26,10:23.4,7.96,215,57.2,31.5,680,565,,,
day26,20:25.2,7.85,215,58.2,31.5,682,569,,,
day26,30:27.0,7.89,214,58.6,31.6,680,563,,,
day26,40:28.8,8.07,213,57.9,31.7,681,567,,,
day26,50:30.6,7.96,213,58,31.7,681,568,,,
day26,00:32.3,8.22,212,57.5,31.5,682,567,,,
day26,10:34.1,8.18,211,56.1,31.2,679,567,,,
day26,20:35.9,8.26,210,59.9,31.3,680,571,,,
day26,30:37.6,8.26,210,58.2,31.4,681,568,,,
day26,40:39.4,8.48,209,57.7,31.1,679,571,,,
day26,50:41.1,8.66,208,59,31.1,681,571,,,
day26,00:42.8,8.74,207,60.3,30.8,679,575,,,
day26,10:44.6,8.77,207,59.9,31.2,681,576,,,
day26,20:46.3,9.07,207,55.5,31,679,585,,,
day26,30:48.0,9.07,207,58.4,31.2,679,576,,,
day26,40:49.7,9.48,207,57.5,31.1,681,577,,,
day26,50:51.5,9.55,206,57.1,31,682,592,,,
day26,00:53.2,9.44,206,58,30.9,680,579,,,
day26,10:54.9,9.55,205,60.1,31,682,594,,,
day26,20:56.6,9.84,206,58.9,30.9,682,587,,,
day26,30:58.3,10.03,205,58.2,30.8,679,596,,,
day26,41:00.0,9.81,204,60.7,30.9,678,601,,,
day26,51:01.7,9.7,204,59.3,30.6,680,595,,,
day26,01:03.4,9.51,204,59.2,30.5,681,599,,,
day26,11:05.0,9.7,203,61.1,30.7,682,595,,,
day26,21:06.7,10.1,202,62.4,30.6,681,589,,,
day26,31:08.4,10.4,202,63.5,30.4,679,585,,,
day26,41:10.1,10.14,202,63.8,30.3,681,588,,,
day26,51:11.7,10.03,201,63.1,30.2,681,599,,,
day26,01:13.4,10.29,201,61,30.3,681,599,,,
day26,11:15.0,10.4,200,63.8,30.1,679,598,,,
day26,21:16.7,10.51,199,64,29.9,681,610,,,
day26,31:18.3,10.55,199,63.5,30,679,608,,,
day26,41:19.9,10.58,198,63.6,30,681,609,,,
day26,51:21.5,10.58,197,64.8,29.8,680,607,,,
day26,01:23.1,10.62,195,67.1,29.6,681,600,,,
day26,11:24.7,10.69,194,66.3,29.6,681,605,,,
day26,21:26.2,9.51,191,66.7,29.6,681,605,,,
day26,31:27.7,9.25,187,67.6,29.5,681,609,,,
day26,41:29.1,9.4,182,68.6,29.5,681,609,,,
day26,51:30.4,9.25,173,68.7,29.2,681,610,,,
day26,01:31.6,9.22,161,69.1,29.3,679,605,,,
day26,11:32.6,9.25,141,69.8,29.1,681,604,,,
day26,21:34.0,9.44,108,70.5,28.8,680,596,,,
day26,31:35.1,8.92,38,70.9,29,681,593,,,
day26,41:37.0,9.48,0,71,28.9,681,591,,,
