day21,54:35.2,13.25,200,61.7,30,677,628
day21,04:45.9,13.4,199,61.7,30,680,640
day21,14:48.0,12.37,199,62.6,29.8,681,629
day21,24:49.0,27.13,200,63.3,30.2,680,633
day21,34:50.5,9.38,197,61.2,30,679,639
day21,44:52.2,11.41,198,61.7,29.8,681,645
day21,54:53.8,13.32,198,60.3,30,679,643
day21,04:55.2,18.82,196,58.9,29.8,679,644
day21,14:56.5,8.6,194,58,29.8,681,638
day21,24:57.9,10.3,194,60.6,29.7,679,647
day21,34:59.5,10.96,193,59.9,29.7,681,652
day21,45:00.9,12.88,191,60.3,29.7,681,642
day21,55:02.2,8.53,186,61.9,29.6,681,645
day21,05:03.4,11.44,184,61.6,29.5,681,646
day21,15:04.8,10.26,180,61.2,29.5,680,649
day21,25:06.0,11.74,175,60.6,29.4,679,651
day21,35:07.2,8.97,171,61.6,29.3,681,652
day21,45:08.2,13.44,160,62.1,29.2,682,653
day21,55:10.2,11.29,144,61.5,29,681,643
day21,05:11.7,8.71,126,62.5,29.1,681,640
day21,15:13.0,10,94,64,28.9,681,640
day21,25:15.0,10.59,39,64.3,28.9,681,638
day21,35:17.0,10.59,0,63.5,28.8,680,646
