day5,19:45.1,9.71,0,0,28,68.5,25.7,681,176
day5,29:48.4,9.71,0,0,28,68.9,25.7,684,198
day5,39:49.9,9.86,0,39,28,69.1,25.7,683,210
day5,49:51.0,10.74,0,111,28,68.9,25.7,682,212
day5,59:52.2,10.85,0,140,28,69,25.7,684,215
day5,09:53.7,10.96,0,184,28,68.6,25.8,684,216
day5,19:55.3,11.15,0,195,28,68.6,26,684,216
day5,29:57.0,11.22,0,201,28,68.8,26.1,684,217
day5,39:58.8,11.33,0,207,28,68,26.3,684,217
day5,50:00.7,11.37,0,223,28,65.2,27.5,684,216
day5,00:02.6,11.52,0,222,28,61.6,29.5,685,216
day5,10:04.5,11.55,0,223,28,58,31.1,682,214
day5,20:06.5,11.22,0,222,28,56.3,32.1,685,214
day5,30:08.4,11.07,0,222,28,54.4,32.7,683,212
day5,40:10.4,11.07,0,226,35,52.2,33.8,683,212
day5,50:12.3,10.96,0,226,52,50.3,34.5,683,211
day5,00:14.2,10.89,0,225,28,50.6,33.5,685,210
day5,10:16.0,10.89,0,210,28,51.7,33,682,210
day5,20:17.8,10.89,0,218,28,56.5,30.2,683,209
day5,30:19.7,11.07,0,218,28,57,29.5,685,209
day5,40:21.5,10.96,0,218,28,58.4,29.3,685,209
day5,50:23.3,11.04,0,218,28,58.2,29.5,685,209
day5,00:25.2,10.89,0,217,28,57.8,29.4,685,209
day5,10:27.0,11.07,0,218,28,57.3,29.8,685,210
day5,20:28.8,11.11,0,217,28,56.6,29.2,684,209
day5,30:30.7,11.07,0,217,28,57.5,29,684,210
day5,40:32.5,11.04,0,217,28,58.2,28.8,682,210
day5,50:34.3,10.96,0,213,28,58.5,29,683,210
day5,00:36.1,10.85,0,216,28,57.9,29.1,684,211
day5,10:38.0,10.85,0,215,28,57.6,29.5,684,210
day5,20:39.8,10.85,0,214,28,56.2,29.1,684,211
day5,30:41.6,10.89,0,214,28,57.4,29.5,684,211
day5,40:43.3,10.93,0,214,28,57.8,29.1,684,212
day5,50:45.1,10.96,0,212,28,57.6,29.1,682,210
day5,00:46.9,10.96,0,210,28,58,28.8,684,211
day5,10:48.7,10.96,0,210,28,57.8,28.9,683,211
day5,20:50.4,10.89,0,210,28,57.8,29,684,212
day5,30:52.2,10.93,0,210,28,57.3,29,683,211
day5,40:53.9,10.89,0,209,28,58.6,28.9,685,212
day5,50:55.6,10.89,0,207,28,57,28.6,684,213
day5,00:56.7,10.89,0,206,28,58.4,28.7,682,212
day5,10:57.8,10.89,0,206,28,58.7,28.9,682,212
day5,20:58.8,10.89,0,206,28,59.8,28.8,685,214
day5,31:00.3,11.37,0,204,28,59.5,28.7,685,214
day5,41:02.0,10.85,0,204,28,59.2,28.6,682,214
day5,51:03.7,10.89,0,203,28,59.3,28.7,684,214
day5,01:05.3,10.85,0,199,28,59.8,28.5,682,215
day5,11:07.0,10.89,0,203,28,59.2,28.4,682,215
day5,21:08.7,10.78,0,203,28,60.6,28.5,684,217
day5,31:10.4,10.85,0,201,28,59.4,28,682,217
day5,41:12.0,10.85,0,202,28,59.4,28.4,684,218
day5,51:13.7,10.74,0,201,28,60.4,28.3,685,220
day5,01:15.3,10.81,0,201,28,60.9,28,682,219
day5,11:17.0,10.74,0,200,28,58.9,28,684,221
day5,21:18.6,10.85,0,200,28,60.7,28.1,683,221
day5,31:20.2,10.74,0,199,28,60.4,28,684,222
day5,41:21.8,10.74,0,197,28,61,28,682,222
day5,51:23.4,10.74,0,195,28,61.5,28,684,223
day5,01:25.1,10.74,0,196,28,61.8,27.8,684,225
day5,11:26.6,10.74,0,196,28,60,27.9,684,225
day5,21:28.2,10.74,0,193,28,61.1,27.7,684,227
day5,31:29.7,10.74,0,192,28,62.6,27.7,684,228
day5,41:31.3,10.67,0,189,28,63,27.6,682,228
day5,51:32.8,10.74,0,188,28,62.8,27.5,684,228
day5,01:34.2,10.67,0,186,28,63.2,27.5,683,229
day5,11:35.7,10.67,0,183,28,63,27.4,684,229
day5,21:37.2,10.67,0,182,28,64.5,27.4,684,229
day5,31:38.6,10.67,0,180,28,64.3,27.3,684,229
day5,41:39.9,10.63,0,171,28,64.9,27.1,683,229
day5,51:41.0,10.63,0,162,28,64.8,27.1,684,229
day5,01:42.1,10.67,0,146,28,64.9,27.2,682,229
day5,11:43.9,10.67,0,122,28,64.7,27.1,682,229
day5,21:45.2,10.63,0,75,28,64.8,27,682,229
day5,31:47.3,10.67,0,6,28,65.3,26.9,684,229
